implementationVersion,revisionDate,pageObjectName,locatorId,text
2.6.2,2017-05-29 15:24 +0000,WelcomeDialogImpl,caption,Welcome
2.6.2,2017-05-29 15:24 +0000,WelcomeDialogImpl,startButton,Start
2.6.2,2017-05-29 15:24 +0000,UploadDocumentsDialogImpl,progressBarText,98% заполненный
2.6.2,2017-05-29 15:24 +0000,UploadDocumentsDialogImpl,chatLink,пообщаться сейчас
2.6.2,2017-05-29 15:24 +0000,UploadDocumentsDialogImpl,docHeader,Документы
2.6.2,2017-05-29 15:24 +0000,UploadDocumentsDialogImpl,docDescription,Удостоверение личности - данный процесс верификации подтверждает вашу личность и является важной частью предпринимаемых нами мер безопасности для обеспечения вашей конфиденциальности и защиты ваших инвестиций..
2.6.2,2017-05-29 15:24 +0000,UploadDocumentsDialogImpl,smsWrapper,Загрузить со смартфона
2.6.2,2017-05-29 15:24 +0000,UploadDocumentsDialogImpl,smsWrapperDescription,"Вы можете загрузить документы при помощи своего смартфона
Пожалуйста, подтвердите номер своего мобильного телефона
На ваш мобильный телефон было отправлено сообщение. Пожалуйста, нажмите на прилагаемую ссылку и продолжите загрузку документов."
2.6.2,2017-05-29 15:24 +0000,UploadDocumentsDialogImpl,poiHeader,Подтверждение личности
2.6.2,2017-05-29 15:24 +0000,UploadDocumentsDialogImpl,porHeader,Подтверждение места жительства
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,depositAmount,Einzahlungsbetrag (£)
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,creditCardNumber,Kredit / debit kartennummer
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,cvv2,CVV2
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,expiryDateMonth,Monat
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,expiryDateYear,Jahr
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,cardHoldersFirstName,Vorname des Karteninhabers
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,cardHoldersLastName,Nachname des Karteninhabers
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,billingAddress,Rechnungsanschrift
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,city,Stadt
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,zipCode,PLZ
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,country,Land des ständigen Wohnsitzes
2.6.2,2017-05-29 15:24 +0000,AbstractCreditCardDeposit,submit,Absenden
